R,Z,phi,v_parallel,time
1.1888500759520535,0.16024798307742555,-0.013026763349785446,149345.98276745694,1.0799999999999996e-06
1.1886420260301969,0.1617219915529796,-0.013146915343868047,149345.97543616354,1.0899999999999995e-06
1.1884320622815965,0.16319572969133556,-0.013267053441575213,149345.96804010143,1.0999999999999994e-06
1.1882201850483627,0.1646691950147338,-0.013387177529740833,149345.9605792738,1.1099999999999993e-06
1.1880063946757087,0.16614238504581677,-0.013507287495217398,149345.95305368383,1.1199999999999992e-06
1.1877906915119503,0.1676152973076327,-0.013627383224876092,149345.9454633348,1.1299999999999991e-06
1.1875730759085057,0.16908792932363903,-0.013747464605606882,149345.93780822997,1.139999999999999e-06
1.1873535482198947,0.17056027861770623,-0.013867531524318615,149345.93008837267,1.149999999999999e-06
1.1871321088037388,0.17203234271412116,-0.01398758386793911,149345.92230376625,1.1599999999999988e-06
1.1869087580207605,0.17350411913759078,-0.014107621523415248,149345.91445441404,1.1699999999999988e-06
1.186683496234783,0.17497560541324575,-0.014227644377713062,149345.90654031947,1.1799999999999987e-06
1.1864563238127295,0.17644679906664396,-0.014347652317817837,149345.89856148593,1.1899999999999986e-06
1.1862272411246233,0.17791769762377416,-0.014467645230734199,149345.8905179169,1.1999999999999985e-06
1.1859962485435873,0.17938829861105954,-0.014587623003486202,149345.88240961588,1.2099999999999984e-06
1.185763346445843,0.1808585995553613,-0.014707585523117428,149345.87423658633,1.2199999999999983e-06
1.1855285352107108,0.1823285979839823,-0.014827532676691076,149345.86599883184,1.2299999999999982e-06
1.1852918152206091,0.18379829142467058,-0.014947464351290053,149345.85769635596,1.239999999999998e-06
1.185053186861054,0.185267677405623,-0.01506738043401707,149345.8493291623,1.249999999999998e-06
1.1848126505206595,0.1867367534554888,-0.015187280811994731,149345.84089725447,1.2599999999999979e-06
1.184570206591136,0.18820551710337316,-0.015307165372365625,149345.83240063614,1.2699999999999978e-06
1.1843258554672906,0.18967396587884092,-0.015427034002292424,149345.823839311,1.2799999999999977e-06
1.1840795975470262,0.19114209731191997,-0.015546886588957967,149345.81521328277,1.2899999999999976e-06
1.1838314332313413,0.19260990893310503,-0.015666723019565357,149345.8065225552,1.2999999999999975e-06
1.18358136292433,0.1940773982733611,-0.01578654318133805,149345.79776713208,1.3099999999999974e-06
1.1833293870331805,0.1955445628641271,-0.015906346961519952,149345.7889470172,1.3199999999999973e-06
1.1830755059681757,0.19701140023731956,-0.01602613424737551,149345.78006221435,1.3299999999999972e-06
1.1828197201426922,0.19847790792533596,-0.016145904926189798,149345.77111272747,1.3399999999999971e-06
1.1825620299732,0.19994408346105857,-0.016265658885268614,149345.7620985604,1.349999999999997e-06
1.182302435879262,0.20140992437785796,-0.01638539601193858,149345.75301971709,1.359999999999997e-06
1.1820409382835333,0.20287542820959648,-0.016505116193547213,149345.74387620148,1.3699999999999968e-06
1.1817775376117612,0.204340592490632,-0.01662481931746304,149345.73466801754,1.3799999999999967e-06
1.1815122342927844,0.2058054147558214,-0.016744505271075676,149345.7253951693,1.3899999999999966e-06
1.1812450287585325,0.20726989254052422,-0.01686417394179592,149345.71605766081,1.3999999999999965e-06
1.1809759214440259,0.20873402338060618,-0.016983825217055843,149345.70665549612,1.4099999999999965e-06
1.1807049127873748,0.21019780481244285,-0.017103458984308893,149345.69718867933,1.4199999999999964e-06
1.180432003229779,0.2116612343729232,-0.01722307513102997,149345.68765721458,1.4299999999999963e-06
1.1801571932155277,0.21312430959945314,-0.017342673544715526,149345.678061106,1.4399999999999962e-06
1.1798804831919982,0.21458702802995916,-0.01746225411288366,149345.66840035783,1.449999999999996e-06
1.1796018736096565,0.21604938720289193,-0.017581816723074208,149345.65867497423,1.459999999999996e-06
1.1793213649220557,0.21751138465722988,-0.01770136126284883,149345.6488849595,1.4699999999999959e-06
1.1790389575858362,0.21897301793248272,-0.017820887619791097,149345.63903031786,1.4799999999999958e-06
1.178754652060725,0.22043428456869513,-0.017940395681506606,149345.62911105365,1.4899999999999957e-06
1.1784684488095354,0.2218951821064503,-0.01805988533562305,149345.61912717123,1.4999999999999956e-06
1.1781803482981656,0.22335570808687344,-0.01817935646979032,149345.60907867493,1.5099999999999955e-06
1.1778903509955998,0.22481586005163554,-0.01829880897168058,149345.59896556914,1.5199999999999954e-06
1.177598457373906,0.22627563554295677,-0.01841824272898839,149345.58878785832,1.5299999999999953e-06
1.1773046679082368,0.22773503210361024,-0.01853765762943077,149345.5785455469,1.5399999999999952e-06
1.1770089830768278,0.2291940472769254,-0.018657053560747306,149345.56823863933,1.5499999999999951e-06
1.1767114033609978,0.23065267860679187,-0.01877643041070023,149345.5578671402,1.559999999999995e-06
1.1764119292451483,0.23211092363766272,-0.018895788067074527,149345.54743105397,1.569999999999995e-06
1.1761105612167622,0.23356877991455832,-0.019015126417678014,149345.53693038528,1.5799999999999948e-06
1.1758072997664042,0.23502624498306982,-0.01913444535034144,149345.5263651387,1.5899999999999947e-06
1.1755021453877197,0.23648331638936268,-0.019253744752918567,149345.51573531888,1.5999999999999946e-06
1.1751950985774344,0.2379399916801804,-0.019373024513286277,149345.50504093047,1.6099999999999945e-06
1.1748861598353537,0.23939626840284797,-0.019492284519344653,149345.49428197817,1.6199999999999944e-06
1.1745753296643622,0.24085214410527553,-0.019611524659017065,149345.4834584667,1.6299999999999943e-06
1.174262608570423,0.2423076163359619,-0.01973074482025028,149345.47257040083,1.6399999999999943e-06
1.1739479970625777,0.24376268264399822,-0.019849944891014534,149345.4616177853,1.6499999999999942e-06
1.173631495652945,0.24521734057907155,-0.019969124759303642,149345.45060062496,1.659999999999994e-06
1.1733131048567207,0.24667158769146838,-0.020088284313135068,149345.4395189246,1.669999999999994e-06
1.172992825192177,0.24812542153207826,-0.02020742344055004,149345.42837268914,1.6799999999999939e-06
1.172670657180662,0.24957883965239736,-0.02032654202961362,149345.41716192348,1.6899999999999938e-06
1.1723466013465988,0.25103183960453207,-0.02044563996841481,149345.40588663254,1.6999999999999937e-06
1.1720206582174855,0.25248441894120266,-0.020564717145066642,149345.39454682125,1.7099999999999936e-06
1.1716928283238937,0.2539365752157467,-0.02068377344770626,149345.38314249465,1.7199999999999935e-06
1.171363112199469,0.2553883059821228,-0.02080280876449502,149345.37167365773,1.7299999999999934e-06
1.17103151038093,0.25683960879491413,-0.020921822983618575,149345.36014031555,1.7399999999999933e-06
1.170698023408067,0.25829048120933196,-0.02104081599328698,149345.3485424732,1.7499999999999932e-06
1.1703626518237427,0.25974092078121924,-0.021159787681734765,149345.3368801358,1.759999999999993e-06
1.1700253961738905,0.2611909250670544,-0.02127873793722104,149345.32515330845,1.769999999999993e-06
1.1696862570075144,0.2626404916239546,-0.021397666648029577,149345.31336199638,1.779999999999993e-06
1.1693452348766882,0.26408961800967956,-0.021516573702468907,149345.30150620473,1.7899999999999928e-06
1.1690023303365553,0.26553830178263504,-0.02163545898887241,149345.28958593876,1.7999999999999927e-06
1.1686575439453275,0.2669865405018765,-0.02175432239559841,149345.27760120374,1.8099999999999926e-06
1.1683108762642849,0.26843433172711245,-0.02187316381103026,149345.26555200494,1.8199999999999925e-06
1.1679623278577747,0.26988167301870847,-0.021991983123576433,149345.25343834772,1.8299999999999924e-06
1.1676118992932112,0.27132856193769034,-0.02211078022167062,149345.24126023738,1.8399999999999923e-06
1.167259591141075,0.27277499604574784,-0.02222955499377181,149345.22901767935,1.8499999999999922e-06
1.166905403974912,0.2742209729052384,-0.0223483073283644,149345.21671067903,1.8599999999999921e-06
1.1665493383713332,0.27566649007919053,-0.02246703711395826,149345.20433924184,1.869999999999992e-06
1.166191394910014,0.2771115451313074,-0.022585744239088854,149345.19190337328,1.879999999999992e-06
1.165831574173693,0.27855613562597065,-0.022704428592317305,149345.17940307883,1.8899999999999919e-06
1.1654698767481724,0.2800002591282436,-0.022823090062230503,149345.16683836404,1.8999999999999918e-06
1.1651063032223163,0.2814439132038752,-0.022941728537441183,149345.15420923446,1.909999999999992e-06
1.1647408541880508,0.28288709541930335,-0.02306034390658803,149345.14151569572,1.9199999999999918e-06
1.164373530240363,0.28432980334165864,-0.023178936058335764,149345.1287577534,1.9299999999999917e-06
1.1640043319773004,0.2857720345387678,-0.023297504881375223,149345.1159354132,1.9399999999999916e-06
1.1636332599999701,0.2872137865791575,-0.023416050264423467,149345.10304868076,1.9499999999999915e-06
1.1632603149125385,0.2886550570320576,-0.02353457209622386,149345.09009756183,1.9599999999999914e-06
1.1628854973222302,0.2900958434674051,-0.023653070265546167,149345.07708206214,1.9699999999999913e-06
1.162508807839328,0.2915361434558473,-0.023771544661186642,149345.0640021875,1.979999999999991e-06
1.162130247077171,0.29297595456874576,-0.023889995171968118,149345.05085794366,1.989999999999991e-06
1.1617498156521555,0.29441527437817977,-0.0240084216867401,149345.0376493365,1.999999999999991e-06
1.161367514183733,0.2958541004569498,-0.02412682409437886,149345.02437637188,2.009999999999991e-06
1.1609833432944099,0.2972924303785813,-0.024245202283787515,149345.01103905568,2.019999999999991e-06
1.1605973036097474,0.29873026171732797,-0.024363556143896133,149344.99763739386,2.0299999999999907e-06
1.1602093957583604,0.30016759204817567,-0.02448188556366181,149344.98417139234,2.0399999999999906e-06
1.159819620371916,0.3016044189468458,-0.024600190432068778,149344.97064105715,2.0499999999999905e-06
