R,Z,phi,vR,vZ,vphi,time
1.048450374641674,0.5688011852842288,-0.04459711386117769,-74872.68301864658,127476.58240180247,-27345.97368436092,3.996000000000142e-06
1.0483760782566232,0.5689289857535621,-0.04462451983144994,-74296.3850509504,127800.46933324568,-27405.970272243052,3.9970000000001415e-06
1.0483023587716487,0.5690571128922783,-0.044651958378413736,-73719.48497444837,128127.13871626722,-27438.546963797613,3.998000000000141e-06
1.0482292158201882,0.5691855689343932,-0.04467940202787646,-73142.95146042839,128456.0421148993,-27443.649462720146,3.999000000000141e-06
1.0481566480677214,0.5693143555615943,-0.04470682329619267,-72567.75246698452,128786.62720104514,-27421.268316208712,4.0000000000001404e-06
1.048084653214066,0.5694434739002529,-0.04473419473512422,-71994.85365543477,129118.33865856793,-27371.43893155647,4.00100000000014e-06
1.0480132279972554,0.5695729245193454,-0.0447614889766433,-71425.2168106275,129450.619092583,-27294.241519079995,4.00200000000014e-06
1.0479423681989877,0.5697027074292879,-0.04478867877760478,-70859.79826775048,129782.90994244593,-27189.80096147646,4.003000000000139e-06
1.0478720686516394,0.5698328220816847,-0.04481573706421461,-70299.54734824563,130114.65239692372,-27058.286609826464,4.004000000000139e-06
1.047802323246832,0.5699632673699948,-0.04484263697622119,-69745.40480741771,130445.2883100328,-26899.91200658257,4.005000000000139e-06
1.0477331249455357,0.5700940416311109,-0.0448693519107572,-69198.30129630472,130774.26111602681,-26714.93453600628,4.006000000000138e-06
1.0476644657896954,0.570225142647853,-0.04489585556575984,-68659.15584035394,131101.01674201907,-26503.655002638057,4.007000000000138e-06
1.047596336915358,0.5703565676523696,-0.04492212198289835,-68128.87433741869,131425.0045167291,-26266.417138505698,4.008000000000138e-06
1.0475287285672805,0.5704883133304435,-0.04494812558993824,-67608.34807755804,131745.6780738498,-26003.60703989591,4.009000000000137e-06
1.0474616301149935,0.570620375826692,-0.044973841242472876,-67098.45228708416,132062.49624854137,-25715.6525346319,4.010000000000137e-06
1.0473950300702943,0.5707527507506576,-0.04499924426495379,-66600.0446992608,132374.9239655705,-25403.02248091612,4.011000000000137e-06
1.0473289161061403,0.5708854331837752,-0.0450243104909527,-66113.96415401057,132682.43311762763,-25066.225998911592,4.012000000000136e-06
1.0472632750769113,0.5710184176872075,-0.04504901630258905,-65641.0292289391,132984.5034323733,-24705.811636347516,4.013000000000136e-06
1.0471980930400073,0.5711516983105343,-0.04507333866905859,-65182.03690393069,133280.62332678298,-24322.366469544813,4.0140000000001355e-06
1.0471333552787458,0.5712852686012816,-0.04509725518419996,-64737.76126151221,133570.29074738274,-23916.515141364536,4.015000000000135e-06
1.0470690463265206,0.5714191216152766,-0.045120744103037645,-64308.95222512146,133853.01399499242,-23488.918837686877,4.016000000000135e-06
1.0470051499921833,0.5715532499278092,-0.04514378437724178,-63896.334337350745,134128.31253261937,-23040.2742041302,4.0170000000001345e-06
1.046941649386603,0.5716876456455844,-0.045166355689446595,-63500.605580168696,134395.71777517506,-22571.312204818314,4.018000000000134e-06
1.046878526950364,0.5718223004194442,-0.0451884384863717,-63122.43623905127,134654.77385971785,-22082.796925099596,4.019000000000134e-06
1.046815764482551,0.5719572054578391,-0.04521001401069191,-62762.467812878385,134905.0383949588,-21575.524320213768,4.0200000000001335e-06
1.0467533431705798,0.5720923515410279,-0.045231064331603905,-62421.31197137439,135146.08318880206,-21050.32091199056,4.021000000000133e-06
1.046691243621018,0.5722277290359806,-0.04525157237403966,-62099.54956178988,135377.49495272967,-20508.042435749343,4.022000000000133e-06
1.0466294458913517,0.5723633279119625,-0.04527152194647931,-61797.72966643869,135598.87598187887,-19949.57243964986,4.023000000000132e-06
1.046567929522639,0.5724991377567722,-0.04529089776731813,-61516.368712617426,135809.84480970167,-19375.82083882107,4.024000000000132e-06
1.0465066735730029,0.5726351477936084,-0.045309685489744796,-61255.94963634647,136010.036836139,-18787.722426668202,4.025000000000132e-06
1.0464456566519016,0.5727713468985366,-0.045327871725090625,-61016.9211012801,136199.1049282865,-18186.23534582666,4.026000000000131e-06
1.0463848569551275,0.5729077236185292,-0.04534544406461192,-60799.696774040254,136376.7199925746,-17572.33952129595,4.027000000000131e-06
1.0463242523004703,0.5730442661900467,-0.04536239109967027,-60604.654657133455,136542.57151753365,-16947.035058346784,4.028000000000131e-06
1.0462638201639898,0.5731809625581329,-0.04537870244027812,-60432.136480513414,136696.3680862639,-16311.34060784987,4.02900000000013e-06
1.046203537716837,0.5733178003959907,-0.04539436873197984,-60282.44715275334,136837.83785777955,-15666.291701726084,4.03000000000013e-06
1.0461433818625643,0.5734547671250071,-0.0454093816710411,-60155.854272692086,136966.7290164493,-15012.939061263769,4.03100000000013e-06
1.046083329274862,0.5735918499351959,-0.04542373401792219,-60052.58770231713,137082.81018880667,-14352.34688109064,4.032000000000129e-06
1.0460233564356605,0.5737290358060229,-0.04543741960901382,-59972.839201545044,137185.87082705897,-13685.591091624578,4.033000000000129e-06
1.0459634396735351,0.5738663115275815,-0.04545043336661668,-59916.76212545716,137275.72155867706,-13013.757602859634,4.034000000000129e-06
1.0459035552023506,0.574003663722083,-0.04546277130714905,-59884.47118444415,137352.19450150477,-12337.940532370834,4.035000000000128e-06
1.045843679160083,0.5741410788656269,-0.04547443054756949,-59876.0422676091,137415.14354388244,-11659.24042044371,4.036000000000128e-06
1.0457837876477531,0.5742785433102162,-0.04548540931000474,-59891.512329673846,137464.44458933684,-10978.762435252065,4.0370000000001275e-06
1.0457238567684117,0.5744160433059816,-0.04549570692457576,-59930.87934152862,137499.9957654468,-10297.614571020113,4.038000000000127e-06
1.0456638626661072,0.5745535650235781,-0.045505323830417874,-59994.1023044602,137521.71759655248,-9616.905842112905,4.039000000000127e-06
1.0456037815647792,0.5746910945767182,-0.045514261574893876,-60081.1013279892,137529.5531400347,-8937.744476001983,4.0400000000001265e-06
1.045543589807008,0.5748286180448041,-0.04552252281100193,-60191.75777114299,137523.4680859493,-8261.236108051227,4.041000000000126e-06
1.045483263892561,0.574966121495624,-0.04553011129298299,-60325.914446886876,137503.45081986138,-7588.4819810612535,4.042000000000126e-06
1.0454227805166718,0.5751035910080727,-0.04553703187013549,-60483.37588933343,137469.51244878242,-6920.577152499217,4.0430000000001254e-06
1.0453621166079885,0.5752410126948629,-0.045543290478847816,-60663.908683247726,137421.68679017382,-6258.60871232474,4.044000000000125e-06
1.0453012493661333,0.575378372725187,-0.04554889413286212,-60867.24185526517,137360.0303240382,-5603.654014301789,4.045000000000125e-06
1.0452401562988072,0.5755156573472952,-0.04555385091178578,-61093.06732613897,137284.62210818022,-4956.778923660905,4.046000000000124e-06
1.0451788152583839,0.5756528529109519,-0.04555816994786972,-61341.040423235616,137195.56365677642,-4319.036083946143,4.047000000000124e-06
1.0451172044779315,0.5757899458897344,-0.04556186141107557,-61610.78045240026,137092.97878245282,-3691.463205846601,4.048000000000124e-06
1.0450553026066034,0.5759269229031365,-0.04556493649245635,-61901.871328218105,136977.01340212667,-3075.081380773504,4.049000000000123e-06
1.0449930887443417,0.5760637707384434,-0.04556740738587825,-62213.86226160509,136847.83530692648,-2470.8934219006096,4.050000000000123e-06
1.0449305424758382,0.57620047637234,-0.04556928726811359,-62546.26850356927,136705.63389656154,-1879.8822353382352,4.051000000000123e-06
1.0448676439036944,0.5763370269922186,-0.04557059027733765,-62898.57214389513,136550.61987856837,-1303.0092240596605,4.052000000000122e-06
1.0448043736807309,0.5764734100171515,-0.04557133149006479,-63270.22296341603,136383.02493291744,-741.2127271430177,4.053000000000122e-06
1.0447407130413924,0.576609613118494,-0.04557152689656162,-63660.63933845504,136203.10134251782,-195.40649683225092,4.054000000000122e-06
1.0446766438321964,0.5767456242400842,-0.045571193374777476,-64069.20919593222,136011.12159021193,333.52178414260743,4.055000000000121e-06
1.0446121485411788,0.5768814316180072,-0.04557034866283486,-64495.29101755682,135807.37792290482,844.7119426126792,4.056000000000121e-06
1.0445472103262874,0.5770170237998907,-0.045569011330124774,-64938.214891445634,135592.1818835253,1337.3327100824627,4.0570000000001206e-06
1.044481813042678,0.5771523896637023,-0.045567200747054094,-65397.28360943489,135365.86381156568,1810.5830706785969,4.05800000000012e-06
1.0444159412688698,0.5772875184360153,-0.04556493705349431,-65871.77380828149,135128.7723129979,2263.6935597841602,4.05900000000012e-06
1.0443495803317169,0.5774223997097158,-0.045562241125983026,-66360.93715288141,134881.2737004112,2695.927511288146,4.0600000000001195e-06
1.0442827163301573,0.57755702346112,-0.04555913454373156,-66864.00155956784,134623.75140426386,3106.582251463434,4.061000000000119e-06
1.0442153361576998,0.5776913800664762,-0.04555563955349399,-67380.1724574896,134356.60535618733,3494.99023757324,4.062000000000119e-06
1.0441474275236138,0.5778254603178216,-0.04555177903335459,-67908.63408601187,134080.25134532494,3860.5201393954494,4.0630000000001185e-06
1.0440789789727878,0.5779592554381703,-0.04554757645549264,-68448.5508260256,133795.12034873062,4202.577861946308,4.064000000000118e-06
1.0440099799042248,0.5780927570960072,-0.04554305584798486,-68999.06856300062,133501.65783689352,4520.607507779558,4.065000000000118e-06
1.0439404205881453,0.5782259574190627,-0.045538241755707524,-69559.31607956813,133200.32305549446,4814.092277334043,4.0660000000001174e-06
1.0438702921816698,0.5783588490073472,-0.04553315920040162,-70128.40647537429,132891.58828453807,5082.555305901966,4.067000000000117e-06
1.0437995867430578,0.5784914249454233,-0.04552783363996573,-70705.43861190438,132575.93807603978,5325.560435891213,4.068000000000117e-06
1.043728297244478,0.5786236788138948,-0.045522290927042575,-71289.49857994019,132253.86847148254,5542.712923158313,4.069000000000116e-06
1.0436564175832905,0.578755604700095,-0.04551655726696628,-71879.66118727837,131925.8862002891,5733.660076293443,4.070000000000116e-06
1.0435839425918263,0.5788871972079556,-0.04551065917513843,-72474.9914643079,131592.50786058774,5898.091827845465,4.071000000000116e-06
1.0435108680456413,0.5790184514670391,-0.04550462343390185,-73074.5461850179,131254.25908357697,6035.741236582835,4.072000000000115e-06
1.0434371906702402,0.579149363140722,-0.045498477048981856,-73677.37540098434,130911.6736828222,6146.384919995522,4.073000000000115e-06
1.0433629081462543,0.5792799284335118,-0.0454922472055655,-74282.52398586519,130565.29278984184,6229.843416353418,4.074000000000115e-06
1.0432880191130665,0.5794101440974893,-0.04548596122408975,-74889.03318791841,130215.66397736277,6285.981475748049,4.075000000000114e-06
1.0432125231708784,0.5795400074378609,-0.045479646515810095,-75495.94218804594,129863.34037164648,6314.70827965656,4.076000000000114e-06
1.0431364208812175,0.5796695163176162,-0.04547333053822142,-76102.28966085923,129508.87975530488,6315.977588679769,4.077000000000114e-06
1.0430597137658812,0.5797986691612782,-0.0454670407504032,-76707.11533625833,129152.8436620417,6289.787818219353,4.078000000000113e-06
1.0429824043043223,0.5799274649577429,-0.04546080456836123,-77309.46155901674,128795.7964647695,6236.182041972901,4.079000000000113e-06
1.0429044959294784,0.5800559032622015,-0.04545464932043799,-77908.37484386828,128438.30445856413,6155.247923239369,4.0800000000001126e-06
1.042825993022055,0.5801839841971413,-0.04544860220286385,-78502.90742360006,128080.93493992864,6047.117574141268,4.081000000000112e-06
1.0427469009032673,0.5803117084524252,-0.04544269023552087,-79092.11878766745,127724.25528384591,5911.967342983654,4.082000000000112e-06
1.0426672258260583,0.5804390772844453,-0.04543694021799079,-79675.07720886233,127368.83202010453,5750.017530083296,4.0830000000001115e-06
1.0425869749648027,0.5805660925143558,-0.04543137868595827,-80250.86125558522,127015.22991038584,5561.532032514332,4.084000000000111e-06
1.0425061564035154,0.5806927565253833,-0.045426031868039944,-80818.56128729478,126664.01102760033,5346.817918328983,4.085000000000111e-06
1.0424247791225847,0.5808190722592222,-0.04542092564310902,-81377.28093073527,126315.73383896025,5106.224930923381,4.0860000000001105e-06
1.0423428529840502,0.5809450432115165,-0.04541608549818469,-81926.1385345722,125970.95229427147,4840.144924329092,4.08700000000011e-06
1.04226038871545,0.5810706734264375,-0.04541153648695437,-82464.2686001012,125630.21492092109,4549.011230320362,4.08800000000011e-06
1.0421773978922644,0.5811959674903645,-0.04540730318899603,-82990.8231857324,125294.06392702927,4233.2979583352535,4.089000000000109e-06
1.0420938929189814,0.5813209305246787,-0.04540340966976671,-83504.97328299338,124963.03431422252,3893.5192293156033,4.090000000000109e-06
1.0420098870088195,0.5814455681776802,-0.045399879441422035,-84005.9101618392,124637.6530014726,3530.2283446758884,4.091000000000109e-06
1.0419253941621363,0.5815698866156417,-0.04539673542453032,-84492.84668310518,124318.43796143009,3144.0168917145256,4.092000000000108e-06
1.0418404291435603,0.5816938925130124,-0.045393999910743436,-84965.01857598995,124005.8973706634,2735.513786882675,4.093000000000108e-06
1.0417550074578819,0.5818175930417876,-0.04539169452648501,-85421.68567851091,123700.52877519456,2305.3842584251247,4.094000000000108e-06
1.0416691453247429,0.5819409958600603,-0.045389840197715005,-85862.13313893194,123402.81827270033,1854.328770005185,4.095000000000107e-06
1.0415828596521666,0.582064109099773,-0.045388457115827986,-86285.67257622439,123113.23971272318,1383.0818870204716,4.096000000000107e-06
1.041496168008969,0.5821869413536892,-0.04538756470474058,-86691.64319768631,122832.2539162095,892.4110874089843,4.097000000000107e-06
1.041409088596097,0.5823095016616049,-0.04538718158922174,-87079.41287191203,122560.30791566393,383.1155188347693,4.098000000000106e-06
1.0413216402169416,0.582431799495822,-0.04538732556451751,-87448.37915537396,122297.83421717741,-143.97529577045543,4.099000000000106e-06
1.0412338422466707,0.5825538447459075,-0.04538801356731976,-87797.97027095131,122045.25008555349,-688.0028022491178,4.100000000000106e-06
1.041145714600634,0.5826756477027613,-0.04538926164812646,-88127.64603681582,121802.95685372212,-1248.08080670132,4.101000000000105e-06
1.0410572777018898,0.5827972190420189,-0.04539108494503865,-88436.89874416236,121571.33925759318,-1823.2969121903611,4.102000000000105e-06
1.0409685524479075,0.5829185698068163,-0.045393497659037024,-88725.25398235301,121350.7647974624,-2412.7139983758793,4.1030000000001045e-06
1.0408795601764975,0.5830397113899434,-0.04539651303077873,-88992.27141012566,121141.58312704139,-3015.371741709031,4.104000000000104e-06
1.040790322631026,0.5831606555154145,-0.045400143318952486,-89237.54547160369,120944.12547114056,-3630.2881737564394,4.105000000000104e-06
1.04070086192497,0.5832814142194875,-0.045404399780227644,-89460.70605593003,120758.70407298858,-4256.461275155698,4.1060000000001035e-06
1.0406112005058705,0.5834019998311597,-0.04540929265083029,-89661.41909943835,120585.61167212565,-4892.870602644993,4.107000000000103e-06
1.0405213611187412,0.5835224249521734,-0.045414831129776845,-89839.3871293653,120425.12101375968,-5538.478946553204,4.108000000000103e-06
1.040431366768993,0.5836427024365639,-0.04542102336379293,-89994.34974820015,120277.48439042411,-6192.23401608451,4.1090000000001025e-06
1.0403412406849353,0.5837628453697806,-0.04542787643394262,-90126.0840578632,120142.93321672539,-6853.0701496834445,4.110000000000102e-06
1.0402510062799122,0.5838828670474185,-0.04543539634399034,-90234.40502299974,120021.67763791441,-7519.910047722408,4.111000000000102e-06
1.0401606871141393,0.5840027809535915,-0.045443588010515054,-90319.1657727739,119913.90617296274,-8191.666524714006,4.112000000000101e-06
1.0400703068562986,0.5841226007389843,-0.04545245525479327,-90380.25784064512,119819.78539276811,-8867.244278215385,4.113000000000101e-06
1.039979889244957,0.5842423401986183,-0.045462000796464834,-90417.61134170956,119739.45963405754,-9545.541671560943,4.114000000000101e-06
1.0398894580498697,0.5843620132493678,-0.045472226248992366,-90431.19508728878,119673.05074949798,-10225.452527533593,4.1150000000001e-06
1.039799037033233,0.5844816339072623,-0.045483132116922426,-90421.01663654983,119620.6578944659,-10905.867930063136,4.1160000000001e-06
1.039708649910948,0.5846012162646131,-0.04549471779495345,-90387.1222850419,119582.35735086673,-11585.678031023363,4.1170000000001e-06
1.039618320313958,0.5847207744670014,-0.04550698156881264,-90329.59699013738,119558.20238833522,-12263.773859187253,4.118000000000099e-06
1.0395280717497244,0.5848403226901645,-0.04551992061794103,-90248.56423346711,119548.22316308536,-12939.049128392218,4.119000000000099e-06
1.0394379275639039,0.5849598751168191,-0.045533531019982997,-90144.18582054261,119552.42665461717,-13610.402041964611,4.120000000000099e-06
1.039347910902286,0.5850794459134595,-0.04554780775707345,-90016.66161785986,119570.79664042467,-14276.737090454972,4.121000000000098e-06
1.0392580446730582,0.5851990492071683,-0.04556274472391319,-89866.22922788216,119603.2937087864,-14936.966839742427,4.122000000000098e-06
